mean_silence_duration,variance_silence_duration,mean_activity_duration,variance_activity_duration,60_percentile_activity_duration,90_percentile_activity_duration,tcp_upload_bytes_std_dev,tcp_download_bytes_std_dev,udp_upload_bytes_std_dev,udp_download_bytes_std_dev,tcp_upload_bytes_mean,tcp_download_bytes_mean,udp_upload_bytes_mean,udp_download_bytes_mean,95_percentile_upload_bytes,98_percentile_upload_bytes,95_percentile_download_bytes,98_percentile_download_bytes,bytes_mean,bytes_std_dev,packets_mean,packets_std_dev
3.281,7.265,1.385,0.483,1.000,2.000,46.491,177.227,234.301,155.637,38.187,133.210,27.237,14.933,134.000,174.580,531.600,806.080,213.567,447.657,1.947,2.363
3.650,9.327,1.373,0.471,1.000,2.000,44.388,175.624,116.891,140.523,36.263,131.483,6.760,8.127,120.150,163.220,505.300,665.300,182.633,333.914,1.817,2.161
3.729,10.096,1.356,0.365,1.000,2.000,42.239,169.072,220.180,91.934,35.730,130.077,12.733,5.317,120.150,163.000,491.700,583.600,183.857,363.539,1.803,2.143
3.574,9.949,1.344,0.390,1.000,2.000,43.660,171.079,272.332,129.611,36.007,128.633,22.280,12.427,123.550,163.220,523.050,682.520,199.347,427.107,1.860,2.263
4.055,12.561,1.375,0.413,1.000,2.000,43.096,170.716,474.361,174.542,34.443,123.903,45.053,22.030,134.000,174.000,531.600,810.140,225.430,640.622,1.840,2.418
4.185,14.929,1.370,0.418,1.000,2.000,41.918,159.001,474.361,174.542,33.330,116.070,45.053,22.030,123.550,163.220,513.500,806.220,216.483,637.553,1.787,2.375
4.451,16.404,1.460,0.528,1.000,2.100,517006.320,2165.441,474.361,174.542,33355.437,266.980,45.053,22.030,144.800,176.400,531.600,1518.560,33689.500,519149.641,6.957,78.270
4.412,16.321,1.500,0.650,1.000,3.000,517006.145,2164.895,474.361,174.542,33358.160,270.173,45.053,22.030,160.150,241.080,531.600,1518.560,33695.417,519149.259,7.080,78.266
4.957,17.129,1.532,0.675,1.000,3.000,517006.243,2165.106,474.361,174.542,33356.637,266.620,45.053,22.030,160.000,241.080,531.600,1518.560,33690.340,519149.586,7.017,78.270
4.787,15.699,1.630,0.842,1.000,3.000,517006.174,2164.846,562.524,239.956,33357.703,271.287,62.690,31.627,160.150,344.780,543.100,1595.040,33723.307,519147.683,7.127,78.272
4.787,15.955,1.630,0.842,1.000,3.000,517006.106,2164.645,562.524,239.956,33358.770,274.803,62.690,31.627,160.000,344.780,547.050,1595.040,33727.890,519147.387,7.183,78.269
4.360,13.190,1.640,0.830,1.400,3.000,517005.956,2164.718,562.524,239.956,33361.093,279.827,62.690,31.627,163.000,344.780,586.450,1595.040,33735.237,519146.916,7.297,78.265
4.551,14.084,1.571,0.694,1.000,3.000,517006.028,2164.851,518.871,222.277,33359.970,277.610,49.957,26.310,160.150,241.080,586.450,1518.600,33713.847,519148.210,7.213,78.266
4.708,12.082,1.574,0.713,1.000,3.000,517006.080,2164.872,494.034,203.118,33359.170,275.167,40.410,19.200,160.000,240.000,502.650,1060.320,33693.947,519149.447,7.130,78.269
4.851,18.765,1.532,0.717,1.000,3.000,517006.062,2164.807,304.966,165.942,33359.447,274.830,17.637,9.597,134.500,214.520,433.000,714.040,33661.510,519151.318,7.073,78.267
5.419,40.104,1.595,0.765,1.000,3.000,517006.163,2165.202,304.966,165.942,33357.883,269.213,17.637,9.597,134.500,214.520,433.000,714.040,33654.330,519151.781,6.980,78.273
6.000,44.200,1.500,0.700,1.000,3.000,43.816,157.484,304.966,165.942,32.930,109.180,17.637,9.597,123.000,163.220,416.050,597.240,169.343,522.774,1.677,2.484
5.667,43.032,1.512,0.689,1.000,3.000,41.264,148.479,304.966,165.942,31.597,104.647,17.637,9.597,120.000,163.000,407.450,577.380,163.477,518.755,1.597,2.301
5.902,47.161,1.415,0.633,1.000,2.000,41.575,145.243,304.966,165.942,30.987,99.090,17.637,9.597,123.000,163.000,392.300,577.380,157.310,517.901,1.540,2.276
6.579,60.402,1.351,0.444,1.000,2.000,39.846,141.994,0.000,0.000,28.663,92.763,0.000,0.000,120.000,134.000,375.000,544.660,121.427,173.410,1.370,1.817
7.229,71.205,1.382,0.530,1.000,2.000,40.390,137.719,0.000,0.000,27.997,89.560,0.000,0.000,120.000,134.580,369.250,491.080,117.557,169.525,1.323,1.785
7.788,80.773,1.344,0.538,1.000,2.000,37.042,124.376,0.000,0.000,25.863,81.027,0.000,0.000,80.700,134.000,307.650,407.840,106.890,151.428,1.207,1.546
7.788,83.925,1.344,0.538,1.000,2.000,37.915,136.354,0.000,0.000,25.787,82.097,0.000,0.000,95.300,134.000,307.650,463.160,107.883,162.532,1.180,1.562
9.034,85.137,1.357,0.587,1.000,2.300,35.416,131.146,0.000,0.000,23.997,77.180,0.000,0.000,80.150,134.000,297.200,449.280,101.177,156.073,1.113,1.499
8.125,68.484,1.290,0.529,1.000,2.000,35.745,135.383,0.000,0.000,23.730,77.120,0.000,0.000,80.150,134.000,307.500,463.160,100.850,160.525,1.100,1.524
7.083,49.465,1.250,0.465,1.000,2.000,36.872,137.331,0.000,0.000,24.807,80.410,0.000,0.000,84.850,134.000,307.500,463.160,105.217,163.386,1.150,1.564
7.111,48.932,1.257,0.477,1.000,2.000,36.862,130.888,0.000,0.000,24.177,76.803,0.000,0.000,83.550,134.000,317.050,449.280,100.980,157.107,1.110,1.557
6.789,46.008,1.135,0.225,1.000,1.000,398394.268,2074.835,0.000,0.000,23063.143,203.807,0.000,0.000,120.000,134.000,359.400,473.920,23266.950,400460.077,5.957,84.105
6.350,43.877,1.179,0.250,1.000,2.000,398394.171,2074.892,0.000,0.000,23064.823,210.287,0.000,0.000,120.000,134.000,378.550,618.020,23275.110,400459.608,6.030,84.101
5.370,28.059,1.178,0.235,1.000,2.000,398394.045,2074.679,0.000,0.000,23067.013,216.197,0.000,0.000,123.000,134.000,378.350,618.020,23283.210,400459.141,6.127,84.097
5.556,20.291,1.136,0.163,1.000,1.700,398394.171,2074.921,0.000,0.000,23064.823,211.957,0.000,0.000,120.000,134.000,378.350,618.020,23276.780,400459.512,6.033,84.101
5.600,22.996,1.091,0.083,1.000,1.000,398394.171,2075.006,0.000,0.000,23064.823,214.233,0.000,0.000,120.000,134.000,389.600,618.020,23279.057,400459.382,6.033,84.101
5.556,21.536,1.136,0.163,1.000,1.700,398394.140,2074.144,0.000,0.000,23065.357,211.510,0.000,0.000,120.150,134.000,376.100,458.540,23276.867,400459.503,6.057,84.100
5.591,22.924,1.227,0.494,1.000,2.000,785230.573,3360.229,0.000,0.000,93794.670,493.293,0.000,0.000,123.000,183.500,410.150,791.980,94287.963,788438.342,16.347,128.862
5.568,24.518,1.250,0.506,1.000,2.000,785230.554,3361.063,260.546,96.307,93794.827,500.317,15.307,7.283,123.550,727.220,440.450,1943.480,94317.733,788434.874,16.427,128.857
5.356,23.696,1.341,0.679,1.000,2.000,785230.363,3360.583,260.546,96.307,93796.427,505.543,15.307,7.283,134.000,727.220,449.450,1943.480,94324.560,788434.060,16.510,128.848
5.222,28.840,1.413,0.808,1.000,2.000,785230.250,3360.340,1170.953,650.886,93797.370,507.750,96.423,65.193,144.000,5129.980,583.700,5341.280,94466.737,788418.716,16.790,128.848
5.488,29.599,1.455,0.839,1.000,2.000,679064.071,2661.334,1170.953,650.886,70757.193,380.953,96.423,65.193,134.500,4565.620,489.500,2379.060,71299.763,681567.893,11.887,98.167
5.535,31.458,1.476,0.916,1.000,2.900,679064.181,2661.524,1170.953,650.886,70756.133,378.413,96.423,65.193,144.800,4565.620,501.950,2379.060,71296.163,681568.268,11.863,98.170
6.025,32.274,1.513,0.968,1.000,3.000,679064.223,2661.690,1170.953,650.886,70755.733,375.857,96.423,65.193,160.150,4565.620,501.950,2379.060,71293.207,681568.577,11.840,98.172
5.341,30.497,1.512,0.901,1.000,2.800,750895.862,3009.626,1170.953,650.886,89531.513,471.017,96.423,65.193,174.000,5129.980,583.700,5341.280,90164.147,753752.689,16.110,120.915
5.488,30.250,1.524,0.916,1.000,2.900,750895.948,3009.863,1170.953,650.886,89530.790,468.490,96.423,65.193,174.000,5129.980,583.700,5341.280,90160.897,753753.076,16.087,120.918
4.957,27.402,1.457,0.813,1.000,2.000,750895.789,3009.549,1170.953,650.886,89532.123,474.227,96.423,65.193,174.000,5129.980,599.100,5341.280,90167.967,753752.234,16.153,120.910
4.283,21.863,1.377,0.499,1.000,2.000,324610.827,1434.190,1170.953,650.886,18807.133,205.997,96.423,65.193,163.000,203.000,558.850,1710.520,19174.747,326020.575,6.063,71.282
