mean_silence_duration,variance_silence_duration,mean_activity_duration,variance_activity_duration,30_quartile_activity_duration,60_quartile_activity_duration,90_quartile_activity_duration,tcp_upload_bytes_std_dev,tcp_download_bytes_std_dev,udp_upload_bytes_std_dev,udp_download_bytes_std_dev,tcp_upload_bytes_mean,tcp_download_bytes_mean,udp_upload_bytes_mean,udp_download_bytes_mean,95_percentile_upload_bytes,98_percentile_upload_bytes,95_percentile_download_bytes,98_percentile_download_bytes,bytes_mean,bytes_std_dev,packets_mean,packets_std_dev
9.286,66.133,1.481,1.435,1.000,1.000,2.000,72.139,129.541,4373.548,16745.822,20.023,51.470,560.583,1555.970,2591.450,6536.480,900.800,2992.620,2188.047,19972.863,3.973,28.225
9.815,78.077,1.346,0.996,1.000,1.000,2.000,54.434,127.765,4072.827,9348.659,16.923,51.647,319.730,596.373,134.000,2595.060,371.550,976.980,984.673,13418.574,2.363,22.045
9.429,85.602,1.286,0.918,1.000,1.000,2.000,53.929,118.699,4069.508,9348.729,17.100,50.467,308.870,593.157,134.000,797.440,344.400,791.760,969.593,13418.063,2.347,22.040
10.269,97.428,1.320,1.018,1.000,1.000,2.000,53.074,121.909,4069.215,9348.198,16.250,50.367,308.643,590.700,122.600,797.440,344.400,799.600,965.960,13416.698,2.293,22.026
9.500,79.036,1.259,0.933,1.000,1.000,1.400,53.696,127.641,4069.215,9348.198,16.647,51.610,308.643,590.700,134.000,797.440,352.900,799.600,967.600,13416.665,2.323,22.034
9.889,82.840,1.269,0.966,1.000,1.000,1.500,53.579,121.605,4069.215,9348.198,16.503,50.287,308.643,590.700,134.000,797.440,350.100,799.600,966.133,13416.704,2.317,22.033
8.800,83.893,1.241,0.873,1.000,1.000,1.200,70.114,120.434,631.194,435.577,18.690,49.160,93.907,55.927,134.000,2583.060,350.900,781.880,217.683,1076.075,1.093,3.684
8.484,72.959,1.233,0.846,1.000,1.000,1.100,69.803,121.359,660.866,436.699,18.240,50.173,105.793,58.277,134.000,2589.400,368.100,781.880,232.483,1093.672,1.103,3.684
8.484,63.927,1.233,0.846,1.000,1.000,1.100,69.776,117.921,739.088,455.866,17.563,46.280,133.210,68.107,134.500,3409.720,415.150,891.720,265.160,1183.561,1.153,3.841
9.207,73.130,1.138,0.119,1.000,1.000,2.000,53.768,103.747,624.783,257.031,13.953,39.937,100.213,38.743,134.000,2589.400,350.900,743.740,192.847,852.344,0.880,2.411
8.613,71.657,1.100,0.090,1.000,1.000,1.100,55.219,105.835,666.807,268.753,14.927,41.590,107.317,39.977,134.000,2769.040,350.900,743.740,203.810,928.688,0.937,2.716
9.276,78.889,1.107,0.096,1.000,1.000,1.300,69.262,104.070,701.553,283.220,15.823,37.897,125.880,47.460,134.000,2960.140,415.150,875.180,227.060,978.271,0.910,2.730
