mean_silence_duration,variance_silence_duration,mean_activity_duration,variance_activity_duration,30_quartile_activity_duration,60_quartile_activity_duration,90_quartile_activity_duration,tcp_upload_bytes_std_dev,tcp_download_bytes_std_dev,udp_upload_bytes_std_dev,udp_download_bytes_std_dev,tcp_upload_bytes_mean,tcp_download_bytes_mean,udp_upload_bytes_mean,udp_download_bytes_mean,95_percentile_upload_bytes,98_percentile_upload_bytes,95_percentile_download_bytes,98_percentile_download_bytes,bytes_mean,bytes_std_dev,packets_mean,packets_std_dev
8.000,69.125,1.375,0.547,1.000,1.000,2.000,34.432,111.939,613.888,3977.342,14.080,34.033,90.737,257.367,124.000,2104.500,264.150,776.320,396.217,4300.846,1.170,6.251
9.179,79.790,1.483,0.663,1.000,1.000,3.000,34.677,116.168,1086.777,7753.385,13.887,35.443,147.650,752.550,124.000,2900.460,264.150,1188.080,949.530,8459.581,1.880,11.391
7.844,78.757,1.581,1.082,1.000,1.000,3.000,37.630,120.163,1057.052,9260.243,15.887,39.937,160.120,912.033,134.000,2211.680,406.300,1448.840,1127.977,9907.641,2.070,11.710
6.622,69.370,1.528,0.971,1.000,1.000,2.500,39.871,123.590,1089.534,9259.517,17.947,43.713,197.107,926.787,2006.100,2739.320,769.150,1615.440,1185.553,9909.852,2.257,11.748
6.421,60.665,1.514,0.953,1.000,1.000,2.400,39.634,123.951,1089.534,9259.517,18.153,45.130,197.107,926.787,2006.100,2739.320,769.150,1615.440,1187.177,9909.676,2.280,11.747
6.806,64.712,1.571,0.988,1.000,1.000,2.600,38.887,120.979,1089.534,9259.517,17.753,43.423,197.107,926.787,2006.100,2739.320,769.150,1615.440,1185.070,9909.858,2.250,11.740
5.878,66.546,1.475,0.749,1.000,1.000,2.000,40.081,122.090,1142.839,9258.640,18.820,45.310,257.777,960.463,2097.950,2969.660,1199.250,1821.660,1282.370,9918.209,2.490,11.842
4.520,40.330,1.510,0.903,1.000,1.000,2.000,42.360,132.684,1169.169,9257.711,22.747,58.560,298.920,980.493,2192.250,2969.660,1335.750,1821.660,1360.720,9919.482,2.787,11.860
4.132,38.266,1.558,1.054,1.000,1.000,2.000,42.760,115.371,1198.139,9256.967,23.753,59.757,337.603,994.967,2198.150,3229.360,1338.600,1965.720,1416.080,9921.279,2.947,11.876
4.113,38.138,1.577,1.090,1.000,1.000,2.000,44.728,114.409,1205.259,9256.611,24.420,59.097,351.100,1000.280,2198.150,3229.360,1338.600,1965.720,1434.897,9920.957,2.990,11.887
3.891,34.570,1.593,1.056,1.000,1.000,2.000,46.374,117.912,1224.656,9256.249,25.487,61.840,381.317,1011.633,2207.850,3229.360,1453.500,2258.740,1480.277,9922.522,3.113,11.918
4.094,47.519,1.537,0.841,1.000,1.000,2.000,46.416,113.536,792.152,6451.365,25.413,59.533,292.423,500.230,2197.050,2739.320,1281.300,1695.360,877.600,6766.733,2.277,7.195
4.771,57.593,1.479,0.791,1.000,1.000,2.000,43.931,110.059,673.246,328.205,22.553,54.057,221.197,99.600,2095.000,2280.560,1081.150,1627.920,397.407,1037.139,1.633,3.199
4.792,57.457,1.489,0.846,1.000,1.000,2.000,43.483,109.400,655.393,335.346,22.020,53.757,197.003,92.383,2091.100,2280.560,1050.600,1673.400,365.163,1026.753,1.573,3.225
4.308,50.136,1.462,0.787,1.000,1.000,2.000,45.050,111.716,688.172,358.813,23.947,57.613,209.817,100.080,2093.000,2308.100,1081.150,1695.360,391.457,1080.555,1.720,3.432
3.825,32.496,1.464,0.784,1.000,1.000,2.000,45.192,114.489,704.034,361.793,25.087,62.333,223.480,104.607,2094.800,2308.100,1081.150,1695.360,415.507,1098.855,1.830,3.477
4.093,33.973,1.491,0.816,1.000,1.000,2.000,43.232,111.578,706.432,362.843,24.153,59.920,198.317,90.557,2090.050,2326.220,840.900,1678.700,372.947,1094.743,1.713,3.369
4.288,34.821,1.510,0.720,1.000,1.000,2.000,43.558,104.459,681.957,342.392,23.753,54.743,177.677,77.660,2090.000,2326.220,766.300,1225.940,333.833,1041.916,1.643,3.332
4.346,35.534,1.451,0.483,1.000,1.000,2.000,44.051,99.722,656.210,341.388,23.947,52.860,166.243,76.403,2072.900,2225.680,817.400,1253.680,319.453,1023.167,1.613,3.333
4.130,30.557,1.453,0.550,1.000,1.000,2.000,41.676,98.669,655.431,341.493,23.353,54.293,166.223,76.390,2063.450,2225.680,768.550,1253.680,320.260,1022.153,1.617,3.279
4.074,22.920,1.509,0.665,1.000,1.000,2.000,41.431,98.717,654.394,347.787,24.153,56.427,170.183,83.700,2073.150,2219.100,897.950,1655.480,334.463,1033.025,1.680,3.310
3.534,12.697,1.667,1.135,1.000,1.000,3.400,45.225,117.474,861.259,1174.151,28.287,68.720,284.087,186.567,2217.050,2921.520,1092.050,1920.680,567.660,1797.638,2.263,4.373
3.161,7.006,1.677,1.089,1.000,1.600,3.000,47.101,120.344,899.441,1179.443,30.880,74.487,312.050,201.697,2219.250,3878.120,1250.900,1920.680,619.113,1834.194,2.463,4.478
3.000,5.877,1.641,1.043,1.000,1.000,3.000,47.206,124.700,897.881,1175.103,30.820,75.710,326.457,204.357,2218.050,2921.640,1250.900,1733.660,637.343,1827.812,2.493,4.442
3.350,10.461,1.650,1.061,1.000,1.400,3.100,46.613,123.192,880.722,1170.809,28.820,70.420,320.720,201.300,2217.050,2875.540,1250.900,1680.020,621.260,1810.207,2.347,4.340
3.696,29.319,1.691,1.123,1.000,2.000,3.600,46.836,120.925,869.624,1170.266,27.680,65.677,307.057,196.773,2217.050,2875.540,1250.900,1680.020,597.187,1801.925,2.237,4.320
4.077,44.840,1.725,1.180,1.000,2.000,4.000,46.000,119.907,851.600,1165.917,25.620,62.057,296.910,190.927,2217.050,2875.020,1248.250,1655.480,575.513,1779.931,2.130,4.289
4.848,59.868,1.711,1.183,1.000,2.000,3.600,44.401,115.791,833.630,1164.878,22.953,54.960,276.407,183.793,2203.700,2875.020,1248.250,1655.480,538.113,1765.901,1.930,4.217
5.476,80.488,1.707,1.280,1.000,1.000,4.000,43.276,112.610,808.977,1160.905,20.820,49.403,249.157,170.577,2159.300,2875.020,1100.750,1653.040,489.957,1737.635,1.750,4.130
5.571,80.864,1.610,1.165,1.000,1.000,3.000,44.627,117.855,797.246,1159.909,21.147,49.050,235.680,165.277,2159.300,2875.020,1100.750,1653.040,471.153,1730.141,1.713,4.160
6.595,107.971,1.514,1.115,1.000,1.000,2.400,42.300,116.175,762.431,1153.071,18.553,44.047,201.503,146.613,2157.000,2875.020,825.650,1565.920,410.717,1688.853,1.510,4.015
7.848,123.462,1.281,0.265,1.000,1.000,2.000,36.658,93.396,498.952,252.344,14.153,31.007,87.600,43.747,134.000,2096.240,349.450,1255.320,176.507,783.999,0.913,2.651
9.536,161.463,1.222,0.173,1.000,1.000,2.000,33.461,85.208,411.308,215.504,11.887,24.680,59.637,28.617,124.000,2055.780,228.850,767.000,124.820,660.319,0.713,2.329
13.000,198.857,1.227,0.176,1.000,1.000,2.000,31.932,70.202,340.855,197.535,10.347,18.287,32.437,18.420,124.000,134.000,114.050,279.420,79.490,560.624,0.537,2.025
13.000,160.667,1.350,0.328,1.000,1.000,2.000,278323.646,1334.660,318.697,180.861,16663.173,126.133,25.360,13.780,124.000,134.000,119.000,521.940,16828.447,279545.919,14.060,224.225
11.292,144.040,1.261,0.280,1.000,1.000,2.000,278323.602,1334.626,318.697,180.861,16663.920,126.993,25.360,13.780,124.000,134.200,121.200,521.940,16830.053,279545.822,14.090,224.224
11.783,155.996,1.318,0.399,1.000,1.000,2.000,278323.543,1334.574,0.000,0.000,16664.913,128.100,0.000,0.000,124.000,134.000,119.000,279.420,16793.013,279547.583,14.027,224.223
